  0.06471 0.391639 0.425735 0.88454 0.955085
  0.830192 0.204034 0.120413 1.03545 0.196917
  2.28352 0.432828 0.976718 2.75625 2.38019
  2.93344 2.69016 3.82636 0.839961 1.8952
  2.72685 0.690295 4.72177 3.8287 1.94654
  0.789471 2.84413 1.7055 5.95582 4.99114
  4.18017 3.18681 5.46167 1.23693 1.21329
  5.13113 1.86748 2.7478 0.964151 5.87745
  3.09208 5.74341 0.327094 5.82266 7.19929
  1.60062 0.632961 8.79392 3.13186 7.62019
  0.900839 0.578987 0.153949 0.956491 0.0792748
  1.91667 0.165638 0.695878 0.106827 1.65373
  2.41485 0.29232 1.5206 0.274463 1.14026
  2.71752 0.0937842 3.05094 2.67349 1.46374
  0.919426 0.496144 4.45612 2.85347 4.62233
  4.20959 2.18896 0.232846 0.170116 0.895788
  2.15392 4.9235 0.782637 2.92691 1.43664
  0.288162 5.00898 7.01484 4.31736 4.59568
  1.45772 8.00264 5.4357 5.92279 4.18944
  8.20767 1.72193 3.66877 2.19699 1.34119
  0.508205 0.212001 0.0409533 0.373923 0.896368
  1.16294 1.8374 1.40817 1.70615 1.1051
  2.21886 0.132705 1.8157 0.981685 0.963176
  3.0189 3.68292 0.542283 2.85766 2.48158
  2.49506 4.18705 2.88755 4.09903 1.25186
  3.90444 2.35676 0.875383 2.32539 0.5589
  3.39474 5.57523 1.10179 3.96522 3.78322
  7.98336 2.19835 5.59448 5.17466 7.33232
  0.544349 0.418521 3.77616 4.53516 4.49096
  1.18743 8.88898 0.69215 8.02361 2.65979
