196   196
1    -8.250000e+000 -8.250000e+000 -8.250000e+000
2    -8.250000e+000 -8.250000e+000 -5.500000e+000
3    -8.250000e+000 -8.250000e+000 -2.750000e+000
4    -8.250000e+000 -8.250000e+000 0.000000e+000
5    -8.250000e+000 -5.500000e+000 -8.250000e+000
6    -8.250000e+000 -5.500000e+000 -5.500000e+000
7    -8.250000e+000 -5.500000e+000 -2.750000e+000
8    -8.250000e+000 -5.500000e+000 0.000000e+000
9    -8.250000e+000 -2.750000e+000 -8.250000e+000
10    -8.250000e+000 -2.750000e+000 -5.500000e+000
11    -8.250000e+000 -2.750000e+000 -2.750000e+000
12    -8.250000e+000 -2.750000e+000 0.000000e+000
13    -8.250000e+000 0.000000e+000 -8.250000e+000
14    -8.250000e+000 0.000000e+000 -5.500000e+000
15    -8.250000e+000 0.000000e+000 -2.750000e+000
16    -8.250000e+000 0.000000e+000 0.000000e+000
17    -8.250000e+000 2.750000e+000 -8.250000e+000
18    -8.250000e+000 2.750000e+000 -5.500000e+000
19    -8.250000e+000 2.750000e+000 -2.750000e+000
20    -8.250000e+000 2.750000e+000 0.000000e+000
21    -8.250000e+000 5.500000e+000 -8.250000e+000
22    -8.250000e+000 5.500000e+000 -5.500000e+000
23    -8.250000e+000 5.500000e+000 -2.750000e+000
24    -8.250000e+000 5.500000e+000 0.000000e+000
25    -8.250000e+000 8.250000e+000 -8.250000e+000
26    -8.250000e+000 8.250000e+000 -5.500000e+000
27    -8.250000e+000 8.250000e+000 -2.750000e+000
28    -8.250000e+000 8.250000e+000 0.000000e+000
29    -5.500000e+000 -8.250000e+000 -8.250000e+000
30    -5.500000e+000 -8.250000e+000 -5.500000e+000
31    -5.500000e+000 -8.250000e+000 -2.750000e+000
32    -5.500000e+000 -8.250000e+000 0.000000e+000
33    -5.500000e+000 -5.500000e+000 -8.250000e+000
34    -5.500000e+000 -5.500000e+000 -5.500000e+000
35    -5.500000e+000 -5.500000e+000 -2.750000e+000
36    -5.500000e+000 -5.500000e+000 0.000000e+000
37    -5.500000e+000 -2.750000e+000 -8.250000e+000
38    -5.500000e+000 -2.750000e+000 -5.500000e+000
39    -5.500000e+000 -2.750000e+000 -2.750000e+000
40    -5.500000e+000 -2.750000e+000 0.000000e+000
41    -5.500000e+000 0.000000e+000 -8.250000e+000
42    -5.500000e+000 0.000000e+000 -5.500000e+000
43    -5.500000e+000 0.000000e+000 -2.750000e+000
44    -5.500000e+000 0.000000e+000 0.000000e+000
45    -5.500000e+000 2.750000e+000 -8.250000e+000
46    -5.500000e+000 2.750000e+000 -5.500000e+000
47    -5.500000e+000 2.750000e+000 -2.750000e+000
48    -5.500000e+000 2.750000e+000 0.000000e+000
49    -5.500000e+000 5.500000e+000 -8.250000e+000
50    -5.500000e+000 5.500000e+000 -5.500000e+000
51    -5.500000e+000 5.500000e+000 -2.750000e+000
52    -5.500000e+000 5.500000e+000 0.000000e+000
53    -5.500000e+000 8.250000e+000 -8.250000e+000
54    -5.500000e+000 8.250000e+000 -5.500000e+000
55    -5.500000e+000 8.250000e+000 -2.750000e+000
56    -5.500000e+000 8.250000e+000 0.000000e+000
57    -2.750000e+000 -8.250000e+000 -8.250000e+000
58    -2.750000e+000 -8.250000e+000 -5.500000e+000
59    -2.750000e+000 -8.250000e+000 -2.750000e+000
60    -2.750000e+000 -8.250000e+000 0.000000e+000
61    -2.750000e+000 -5.500000e+000 -8.250000e+000
62    -2.750000e+000 -5.500000e+000 -5.500000e+000
63    -2.750000e+000 -5.500000e+000 -2.750000e+000
64    -2.750000e+000 -5.500000e+000 0.000000e+000
65    -2.750000e+000 -2.750000e+000 -8.250000e+000
66    -2.750000e+000 -2.750000e+000 -5.500000e+000
67    -2.750000e+000 -2.750000e+000 -2.750000e+000
68    -2.750000e+000 -2.750000e+000 0.000000e+000
69    -2.750000e+000 0.000000e+000 -8.250000e+000
70    -2.750000e+000 0.000000e+000 -5.500000e+000
71    -2.750000e+000 0.000000e+000 -2.750000e+000
72    -2.750000e+000 0.000000e+000 0.000000e+000
73    -2.750000e+000 2.750000e+000 -8.250000e+000
74    -2.750000e+000 2.750000e+000 -5.500000e+000
75    -2.750000e+000 2.750000e+000 -2.750000e+000
76    -2.750000e+000 2.750000e+000 0.000000e+000
77    -2.750000e+000 5.500000e+000 -8.250000e+000
78    -2.750000e+000 5.500000e+000 -5.500000e+000
79    -2.750000e+000 5.500000e+000 -2.750000e+000
80    -2.750000e+000 5.500000e+000 0.000000e+000
81    -2.750000e+000 8.250000e+000 -8.250000e+000
82    -2.750000e+000 8.250000e+000 -5.500000e+000
83    -2.750000e+000 8.250000e+000 -2.750000e+000
84    -2.750000e+000 8.250000e+000 0.000000e+000
85    0.000000e+000 -8.250000e+000 -8.250000e+000
86    0.000000e+000 -8.250000e+000 -5.500000e+000
87    0.000000e+000 -8.250000e+000 -2.750000e+000
88    0.000000e+000 -8.250000e+000 0.000000e+000
89    0.000000e+000 -5.500000e+000 -8.250000e+000
90    0.000000e+000 -5.500000e+000 -5.500000e+000
91    0.000000e+000 -5.500000e+000 -2.750000e+000
92    0.000000e+000 -5.500000e+000 0.000000e+000
93    0.000000e+000 -2.750000e+000 -8.250000e+000
94    0.000000e+000 -2.750000e+000 -5.500000e+000
95    0.000000e+000 -2.750000e+000 -2.750000e+000
96    0.000000e+000 -2.750000e+000 0.000000e+000
97    0.000000e+000 0.000000e+000 -8.250000e+000
